"Name","Objects","Shallow Size","Retained Size"
"javax.swing.SizeRequirements[]","12","416","1824"
"sun.java2d.x11.X11SurfaceData$X11WindowSurfaceData","4","416","640"
"com.sun.jmx.mbeanserver.NamedObject","17","408","5264"
"sun.java2d.loops.CompositeType","17","408","408"
"com.sun.imageio.plugins.jpeg.JPEGImageReader","2","400","400"
"java.util.HashMap$EntrySet","24","384","384"
"javax.swing.UIDefaults$LazyInputMap","24","384","5120"
"javax.swing.JTabbedPane","1","376","2360"
"java.awt.font.TextAttribute","23","368","368"
"com.yourkit.probes.StringColumn","15","360","360"
"java.util.Arrays$ArrayList","15","360","1832"
"javax.management.MBeanParameterInfo[]","15","360","5304"
"javax.management.StandardMBean","15","360","4448"
"javax.swing.plaf.basic.BasicButtonListener","15","360","360"
"javax.swing.plaf.basic.BasicSliderUI$ScrollListener","15","360","360"
"java.lang.ClassLoader$NativeLibrary","11","352","352"
"java.util.zip.Inflater","11","352","39600"
"sun.font.Font2DHandle","22","352","352"
"au.edu.jcu.v4l4j.ImageFormat","14","336","1520"
"au.edu.jcu.v4l4j.ResolutionInfo","14","336","336"
"java.awt.image.DataBufferByte","7","336","432"
"java.awt.image.SinglePixelPackedSampleModel","7","336","1008"
"java.io.FileDescriptor","14","336","528"
"java.util.Collections$SingletonList","14","336","5736"
"javax.imageio.ImageTypeSpecifier$Packed","7","336","3248"
"sun.awt.CausedFocusEvent$Cause","14","336","336"
"sun.font.EAttribute[]","3","336","336"
"sun.reflect.generics.tree.ClassTypeSignature","21","336","9824"
"uk.ac.ed.inf.sdp2012.group7.control.ConstantsReuse$OpCodes","14","336","336"
"java.nio.DirectByteBuffer","5","320","320"
"java.security.ProtectionDomain","8","320","6080"
"java.text.DecimalFormatSymbols","5","320","320"
"java.util.regex.Pattern","5","320","3632"
"org.apache.log4j.ProvisionNode","10","320","880"
"sun.reflect.UnsafeQualifiedStaticObjectFieldAccessorImpl","10","320","320"
"java.util.LinkedList","13","312","1000"
"org.apache.log4j.CategoryKey","13","312","632"
"org.apache.log4j.Level","13","312","312"
"java.awt.AlphaComposite","12","288","288"
"java.security.Permissions","9","288","5664"
"java.util.ResourceBundle$LoaderReference","9","288","288"
"sun.java2d.pipe.PixelToShapeConverter","18","288","288"
"sun.net.www.protocol.jar.URLJarFile","4","288","640"
"com.sun.jmx.mbeanserver.OpenConverter$CompositeConverter","7","280","19584"
"java.util.HashMap$KeyIterator","7","280","280"
"java.util.IdentityHashMap","7","280","2872"
"sun.awt.image.SunVolatileImage","5","280","568"
"sun.management.MemoryPoolImpl","5","280","2280"
"sun.nio.cs.StreamEncoder","5","280","41920"
"sun.util.calendar.ZoneInfo","5","280","280"
"uk.ac.ed.inf.sdp2012.group7.vision.worldstate.MovingObject","5","280","3840"
"java.util.concurrent.locks.ReentrantLock","17","272","784"
"sun.awt.X11.XContentWindow","2","272","1072"
"java.util.zip.ZStreamRef","11","264","264"
"au.edu.jcu.v4l4j.JPEGVideoFrame","4","256","2458176"
"java.lang.OutOfMemoryError","8","256","648"
"java.security.CodeSource","8","256","256"
"java.util.concurrent.atomic.AtomicBoolean","16","256","256"
"java.util.concurrent.atomic.AtomicInteger","16","256","256"
"java.util.regex.Pattern$CharPropertyNames$4","16","256","512"
"java.util.Stack","8","256","520"
"javax.swing.plaf.InsetsUIResource","8","256","256"
"sun.awt.image.BufImgSurfaceData","4","256","256"
"sun.font.TrueTypeFont","2","256","5256"
"sun.misc.ProxyGenerator$PrimitiveTypeInfo","8","256","3072"
"sun.security.jca.ProviderConfig","8","256","256"
"com.yourkit.probes.IntColumn","10","240","240"
"com.yourkit.probes.LongColumn","10","240","240"
"java.awt.image.BufferedImage","5","240","1844568"
"javax.imageio.ImageTypeSpecifier$Interleaved","6","240","1696"
"javax.swing.AbstractButton$Handler","15","240","240"
"javax.swing.BoxLayout","6","240","2448"
"javax.swing.JSlider$ModelListener","15","240","240"
"javax.swing.plaf.basic.BasicSliderUI$Handler","15","240","240"
"javax.swing.Timer$DoPostEvent","15","240","240"
"sun.font.FontFamily","6","240","240"
"sun.java2d.x11.X11VolatileSurfaceManager","5","240","9584"
"sun.misc.MetaIndex","10","240","8696"
"sun.reflect.generics.repository.MethodRepository","6","240","7160"
