"Name","Retained Size","Level"
"[Unreachable] byte[8192] = {0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, ...}","8208", "1"
"[Unreachable] byte[8192] = {0, 0, 0, 0, 7, 91, -51, 21, 0, 1, -106, 70, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 14, 47, 116, 109, 112, 47, 83, 110, 97, 112, 115, 104, 111, 116, 115, 0, 0, 0, 17, 77, 97, 105, 110, 82, 117, 110, 110, ...}","8208", "1"
"[Unreachable] byte[8192] = {0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, ...}","8208", "1"
"[Unreachable] byte[8192] = {0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, ...}","8208", "1"
"com.sun.jmx.mbeanserver.OpenConverter [Class]","8184", "1"
"sun.awt.FontConfiguration [Class]","8112", "1"
"com.sun.jmx.mbeanserver.PerInterface","8072", "1"
"[Unreachable] int[1964] = {470707484, 1813711981, 191634187, 437021466, 1780026475, 191502603, 420309530, 1763249257, 191371276, 420177944, 1746472041, 241768973, 521168926, 1763512681, 292101393, 487745565, 1729892968, 308681491, 369910549, 1712852324, 258414862, 470838043, 1881018477, 275914001, 437089053, 1897335667, 208606477, 319646996, 1796344940, 158077451, 352939285, 1813645932, 308943885, 555181854, 1663245670, 677324321, 438783011, 773136439, 657200672, 556738841, 925711151, 1261973832, 843856178, 993086521, 1295790669, 793656368, 959204922, 1312303951, 776944686, 975982396, ...}","7872", "1"
"[Unreachable] int[1964] = {992693820, 1228615244, 136649489, 218568464, 303107346, 336662542, 421205012, 353770008, 503250944, 404429080, 437787418, 454694939, 404298264, 437786906, 488643611, 555622942, -65499, 472260894, 538715424, 639704357, -1, -1, -1, 556475169, 606219043, -212, -1, -1, -1, 623847205, 656748327, 791094575, -1, -1, -1, 522723358, 589375777, 740565547, 556344353, 606152996, 690233641, 573056033, 622995749, 690299433, 553648127, 606153507, 774251308, 640624420, 690368809, 841623345, ...}","7872", "1"
"[Unreachable] int[1964] = {470772764, 1813778029, 241900303, 453929755, 1796935275, 241900302, 437152026, 1746472553, 224925965, 420439833, 1746538343, 241768976, 437086233, 1780157802, 258611983, 454125851, 1746604649, 325523988, 403793176, 1729696101, 275192080, 470837274, 1813844586, 292429073, 470708510, 1914309746, 242227470, 353201430, 1813318764, 158143754, 386428440, 1813645165, 241900297, 588606242, 1713773162, 626927390, 455559460, 790045495, 707598371, 540027161, 892091181, 1312239945, 844118323, 959467320, 1295593549, 793721134, 959336506, 1379544660, 777141295, 992825148, ...}","7872", "1"
