"Name","Objects","Shallow Size","Retained Size"
"sun.font.CompositeStrike","2","96","296"
"java.awt.EventQueue","1","56","296"
"java.lang.UNIXProcess$1","1","48","296"
"java.awt.AlphaComposite","12","288","288"
"java.util.ResourceBundle$LoaderReference","9","288","288"
"javax.imageio.stream.FileCacheImageInputStream","3","288","288"
"sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl","6","144","288"
"java.util.HashMap$KeyIterator","7","280","280"
"sun.font.FileFontStrike","2","224","280"
"sun.util.calendar.ZoneInfo","5","280","280"
"sun.awt.im.ExecutableInputMethodManager","1","56","280"
"java.util.concurrent.atomic.AtomicInteger","17","272","272"
"sun.java2d.pipe.PixelToShapeConverter","17","272","272"
"java.util.zip.ZStreamRef","11","264","264"
"javax.imageio.plugins.jpeg.JPEGImageReadParam","3","264","264"
"au.edu.jcu.v4l4j.V4L4JDataBuffer","4","160","256"
"java.security.CodeSource","8","256","256"
"java.util.concurrent.atomic.AtomicBoolean","16","256","256"
"javax.swing.plaf.InsetsUIResource","8","256","256"
"sun.security.jca.ProviderConfig","8","256","256"
"com.yourkit.probes.IntColumn","10","240","240"
"com.yourkit.probes.LongColumn","10","240","240"
"javax.swing.AbstractButton$Handler","15","240","240"
"javax.swing.JSlider$ModelListener","15","240","240"
"javax.swing.plaf.basic.BasicSliderUI$Handler","15","240","240"
"javax.swing.Timer$DoPostEvent","15","240","240"
"sun.font.FontFamily","6","240","240"
"sun.nio.cs.UTF_8$Decoder","6","240","240"
"uk.ac.ed.inf.sdp2012.group7.vision.ui.RangeSliderUI$ChangeHandler","15","240","240"
"sun.text.resources.FormatData_en_GB","1","40","240"
"java.lang.StringCoding$StringDecoder","4","96","232"
"javax.management.MBeanConstructorInfo[]","12","200","232"
"java.awt.geom.EllipseIterator","4","224","224"
"java.util.GregorianCalendar","2","224","224"
"sun.awt.X11.WindowDimensions","2","64","224"
"com.sun.jmx.mbeanserver.MBeanServerDelegateImpl","1","40","224"
"byte[][]","9","216","216"
"java.lang.annotation.ElementType[]","7","216","216"
"java.util.logging.Level","9","216","216"
"sun.awt.SunHints$Key","9","216","216"
"com.sun.imageio.plugins.jpeg.JPEGImageReaderSpi","1","88","216"
"com.sun.imageio.plugins.jpeg.JPEGImageWriterSpi","1","88","216"
"java.lang.ref.Reference$ReferenceHandler","1","112","216"
"uk.ac.ed.inf.sdp2012.group7.vision.InitialLocation","1","48","216"
"java.lang.reflect.Type[]","10","208","208"
"com.sun.imageio.plugins.bmp.BMPImageReaderSpi","1","88","208"
"com.sun.imageio.plugins.bmp.BMPImageWriterSpi","1","88","208"
"com.sun.imageio.plugins.gif.GIFImageReaderSpi","1","88","208"
"com.sun.imageio.plugins.gif.GIFImageWriterSpi","1","88","208"
"com.sun.imageio.plugins.png.PNGImageReaderSpi","1","88","208"
"com.sun.imageio.plugins.png.PNGImageWriterSpi","1","88","208"
"com.sun.imageio.plugins.wbmp.WBMPImageReaderSpi","1","88","208"
"com.sun.imageio.plugins.wbmp.WBMPImageWriterSpi","1","88","208"
"javax.swing.plaf.BorderUIResource$CompoundBorderUIResource","3","72","200"
"sun.java2d.x11.X11SurfaceDataProxy$Opaque","5","200","200"
"sun.awt.FontDescriptor[][][]","1","40","200"
"java.io.RandomAccessFile","5","160","192"
"java.lang.annotation.ElementType","8","192","192"
"java.lang.RuntimePermission","8","192","192"
"java.math.RoundingMode","8","192","192"
"sun.awt.OSInfo$WindowsVersion","8","192","192"
"sun.awt.X11.XRepaintArea","4","64","192"
"sun.font.FontStrikeDisposer","4","192","192"
"sun.font.StrikeCache$SoftDisposerRef","4","192","192"
"sun.reflect.annotation.AnnotationType","6","192","192"
"sun.util.calendar.Gregorian$Date","2","192","192"
